"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","124"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","82"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","44"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","39"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","92"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","136"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","63"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","84"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","139"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","113"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","106"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","222"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","282"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","147"
